58	.436	-.604	-1.212	-1.789	-.833	.139	-.338
59	.466	.534	-.579	.31	.426	.47	.502
60	.518	3.159	1.626	.467	.525	1.542	2.729
61	.234	.137	.037	.067	.128	.163	.407
62	.215	.069	-.022	.01	.171	.003	.09
63	.264	.053	.02	.025	.194	-.094	.346
64	.158	.032	-.088	-.036	.115	.006	.139
65	.368	.079	.133	.049	.222	-.081	.361
66	.282	.212	.099	-.083	.141	-.003	.172
67	.211	-.131	-.254	-.289	-.077	-.627	-.048
68	-.059	.771	1.27	1.582	2.041	1.596	.678
69	.09	2.576	2.289	2.199	.749	1.016	1.881
70	-.251	1.641	1.173	1.022	.381	-.087	-.01
71	.116	-.171	-.437	-.529	-.103	-.833	.229
72	.082	-.018	-.222	-.1	-.159	-.492	.239
73	.209	-.611	-.063	-.055	-.196	.185	-.389
74	.201	-.16	-.241	-.421	.148	-.349	-.136
75	.558	-.109	-.049	-.186	.292	.092	-.497
76	.112	-.705	-.296	-.238	-.027	.069	-.033
77	.111	-.728		-.615	.031	.113	-.249
78	.171	-.173	-.022	-.367	.116	.115	-.078
79	.473	-.105	-.052	-.302	.271	.059	.01
80	-.013	-.031	-.234	-.06	.926	.265	-.012
81	.133	-.332	-.354	-.434	-.447	-.446	-.898
82	.513	-.339	-.08	-.223	-.045	-.297	.271
83	-.016	-.025	.129	.103	-.078	-.164	
84	-.007	.037	-.526	-.206	.198	.32	.111
85	.076	-.287	-.494	-.169	.458	-.009	-.16
86	.177	-.331	.002	-.338	.498	-.212	-.073
87	-.038	-.199	-.487	-.41	.187	-.237	-.369
88	.104	-.038	-.033	-.335	.205	0	-.403
89	.039				1.265	-1.461	-.457
90	.135	-.522	-.017	-.044	.433	.247	-.343
91	.267	-.374	-.562	-.675	.796	-.317	.107
92	.036	-.311	0	-.227	.445	.23	-.205
93	.315	-.376	-.371	-.517	.302	-.097	-.356
94	-.076	0	-.255	-.14	.452	.21	-.109
95	.214	-.737	-.981	-.336	.341	-.61	-.168
96	.193	-.093	-.119	-.208	.116	.366	-.215
97	.181	.014	-.056		-.102	.088	-.093
98	.265	.299	-.134	-.949	-.541	.111	.67
99	.454	-1.129	-1.354	-1.984	-.916	-.939	-1.649
100	.635	-.726	-.86	-1.433	-1.648	-1.402	-.24
101	.831	-1.115	-1.085	-1.814	-1.682	-2.042	.066
102	.332	.57	-.023	-.507	-.877	-.696	-.418
103	.589	.55	-.074	-.09	-.071	-.034	-.077
104	.264	.199	.16	.165	-.086	.336	.189
105	.388	-.6	-1.081	-1.729	-1.569	-1.409	-.009
106	.333	.175	.103	-.283	-.133	.181	-.269
107	.248	-.676	-1.456	-2.67	-2.278	-2.241	1.528
108	.487	-.255	-.385	-.495	-.124	-.404	.424
109	.244	.024	.187	.325	.263	.575	.48
110	.043	-.452	-1.139	-1.542	-1.263	-1.61	-.043
111	.209	-.633	-.999	-1.859	-.629	-1.153	.09
112	.084	-.198	-.251	-.243	-.078	-.019	-.054
113	-.295	-.606	3.925	4.699	3.405	4.509	-.475
114	.04	-.119	-.083	-.219	.033	-.002	-1.359
115	-.044	-.166	.052	-.202	.118	-.014	.139
116	.227	.158	.08	-.03	.107	.022	-.077
117	-.286	.447	.245	.775	.149	.772	.789
118	-.011	.5	.439	-.225	-.745	-.987	-.061
119	.072	.464	.403	.254	.487	.039	.313
120	.088	-1.694	-.937	-2.23	-.861	-.429	-3.249
121	.498	.017	.796	.936	1.501	1.648	
122	.447	.121	.16	.472	.733	.918	.045
123	.523	-.231	.251	-.113	.222	.207	.841
124	.386	-.279	-.529	-.747	-.708	-.412	.344
125	.277	-.04	.399	.29	.294	-.209	-.287
126	.381	.589	.72	.634	.606	.53	.343
127	.531	.245	.043	.017	-.081	-.294	.705
128	.413	-.39	-.404	-.703	-.6	-.334	.092
129	.498	.322	-.045	.025	.523	.014	.244
130	.296	.145	.231	.319	.704	.396	-.489
131	.405	-.855	-1.114	-1.663	-1.753	-1.579	.118
132	.233	-.976	-.509	-1.191	-1.447	-1.093	-1.321
133	.077	-1.633	-1.121	-1.942	.481	-.698	-2.621
134	-.02	.349	-.049	-.017	.174	.065	-.132
135	.163	-1.537	-2.149	-2.259	-.626	-1.433	-1.738
136	.189	-.218	-.382	-.173	-.31	-.104	-.869
137	.062	-1.545	-2.059	-2.394	-.129	-2.21	-2.079
138	.033	-.472	-.656	-.901	-.908	-.728	-.241
139	.181	.358	-.321	-.783	.272	-.538	.606
140	.167	.194	.155	.875	.978	.752	.263
141	.117	.245	.38	.515	.43	.456	-.181
142	.108	.104	-.036	.079	.216	-.157	-.392
