.558	-.109	-.049	-.186	.292	.092	-.497
.112	-.705	-.296	-.238	-.027	.069	-.033
.171	-.173	-.022	-.367	.116	.115	-.078
.473	-.105	-.052	-.302	.271	.059	.01
-.013	-.031	-.234	-.06	.926	.265	-.012
.133	-.332	-.354	-.434	-.447	-.446	-.898
.513	-.339	-.08	-.223	-.045	-.297	.271
-.007	.037	-.526	-.206	.198	.32	.111
.076	-.287	-.494	-.169	.458	-.009	-.16
.177	-.331	.002	-.338	.498	-.212	-.073
-.038	-.199	-.487	-.41	.187	-.237	-.369
.104	-.038	-.033	-.335	.205	0	-.403
.135	-.522	-.017	-.044	.433	.247	-.343
.267	-.374	-.562	-.675	.796	-.317	.107
.036	-.311	0	-.227	.445	.23	-.205
.315	-.376	-.371	-.517	.302	-.097	-.356
-.076	0	-.255	-.14	.452	.21	-.109
.214	-.737	-.981	-.336	.341	-.61	-.168
.193	-.093	-.119	-.208	.116	.366	-.215
.265	.299	-.134	-.949	-.541	.111	.67
.454	-1.129	-1.354	-1.984	-.916	-.939	-1.649
.635	-.726	-.86	-1.433	-1.648	-1.402	-.24
.831	-1.115	-1.085	-1.814	-1.682	-2.042	.066
.332	.57	-.023	-.507	-.877	-.696	-.418
.589	.55	-.074	-.09	-.071	-.034	-.077
.264	.199	.16	.165	-.086	.336	.189
.388	-.6	-1.081	-1.729	-1.569	-1.409	-.009
.333	.175	.103	-.283	-.133	.181	-.269
.248	-.676	-1.456	-2.67	-2.278	-2.241	1.528
.487	-.255	-.385	-.495	-.124	-.404	.424
.244	.024	.187	.325	.263	.575	.48
.043	-.452	-1.139	-1.542	-1.263	-1.61	-.043
.209	-.633	-.999	-1.859	-.629	-1.153	.09
.084	-.198	-.251	-.243	-.078	-.019	-.054
-.295	-.606	3.925	4.699	3.405	4.509	-.475
.04	-.119	-.083	-.219	.033	-.002	-1.359
-.044	-.166	.052	-.202	.118	-.014	.139
.227	.158	.08	-.03	.107	.022	-.077
-.286	.447	.245	.775	.149	.772	.789
-.011	.5	.439	-.225	-.745	-.987	-.061
.072	.464	.403	.254	.487	.039	.313
.088	-1.694	-.937	-2.23	-.861	-.429	-3.249
.447	.121	.16	.472	.733	.918	.045
.523	-.231	.251	-.113	.222	.207	.841
.386	-.279	-.529	-.747	-.708	-.412	.344
.277	-.04	.399	.29	.294	-.209	-.287
.381	.589	.72	.634	.606	.53	.343
.531	.245	.043	.017	-.081	-.294	.705
.413	-.39	-.404	-.703	-.6	-.334	.092
.498	.322	-.045	.025	.523	.014	.244
.296	.145	.231	.319	.704	.396	-.489
.405	-.855	-1.114	-1.663	-1.753	-1.579	.118
.233	-.976	-.509	-1.191	-1.447	-1.093	-1.321
.077	-1.633	-1.121	-1.942	.481	-.698	-2.621
-.02	.349	-.049	-.017	.174	.065	-.132
.163	-1.537	-2.149	-2.259	-.626	-1.433	-1.738
.189	-.218	-.382	-.173	-.31	-.104	-.869
.062	-1.545	-2.059	-2.394	-.129	-2.21	-2.079
.033	-.472	-.656	-.901	-.908	-.728	-.241
.181	.358	-.321	-.783	.272	-.538	.606
.167	.194	.155	.875	.978	.752	.263
.117	.245	.38	.515	.43	.456	-.181
.108	.104	-.036	.079	.216	-.157	-.392
-.105	-.003	.057	.097	-.125	-.13	-.821
0	.687	.916	.13	.374	-.049	-.027
